produit,annee,communes,superficie,production,rendement
Maïs,1995-1996,ABOMEY,1317.0,1237.0,939.2558845861807
Maïs,1995-1996,ABOMEY-CALAVI,21056.0,19519.0,927.004179331307
Maïs,1995-1996,ADJA-OUERE,29563.0,30317.0,1025.5048540405237
Maïs,1995-1996,ADJARRA,1705.0,2006.0,1176.5395894428152
Maïs,1995-1996,ADJOHOUN,11396.0,13518.0,1186.205686205686
Maïs,1995-1996,AGBANGNIZOUN,3677.0,2692.0,732.1185749252107
Maïs,1995-1996,AGUEGUES,575.0,756.0,1314.7826086956522
Maïs,1995-1996,AKPRO-MISSERETE,3922.0,4458.0,1136.664966853646
Maïs,1995-1996,ALLADA,17895.0,15891.0,888.013411567477
Maïs,1995-1996,APLAHOUE,8926.0,7332.0,821.4205691239077
Maïs,1995-1996,ATHIEME,5743.0,5149.0,896.5697370712171
Maïs,1995-1996,AVRANKOU,3072.0,2977.0,969.0755208333334
Maïs,1995-1996,BANIKOARA,7819.0,8150.0,1042.3327791277657
Maïs,1995-1996,BANTE,5051.0,4913.0,972.678677489606
Maïs,1995-1996,BASSILA,2930.0,3539.0,1207.8498293515358
Maïs,1995-1996,BEMBEREKE,10226.0,11891.0,1162.8202620770585
Maïs,1995-1996,BOHICON,1561.0,1362.0,872.5176169122358
Maïs,1995-1996,BONOU,3825.0,5349.0,1398.4313725490197
Maïs,1995-1996,BOPA,3215.0,2554.0,794.4012441679627
Maïs,1995-1996,BOUKOUMBE,446.0,592.0,1327.354260089686
Maïs,1995-1996,COBLY,1678.0,3284.0,1957.0917759237186
Maïs,1995-1996,COME,3819.0,3224.0,844.2000523697303
Maïs,1995-1996,COPARGO,493.0,571.0,1158.215010141988
Maïs,1995-1996,COTONOU,5.5,3.38,614.5454545454545
Maïs,1995-1996,COVE,2727.0,1454.0,533.1866519985332
Maïs,1995-1996,DANGBO,7788.0,8305.0,1066.3841807909605
Maïs,1995-1996,DASSA-ZOUME,7033.0,6139.0,872.8849708516991
Maïs,1995-1996,DJAKOTOMEY,9441.0,11582.0,1226.7768244889312
Maïs,1995-1996,DJIDJA,7506.0,7509.0,1000.3996802557954
Maïs,1995-1996,DJOUGOU,2231.0,2285.0,1024.2043926490362
Maïs,1995-1996,DOGBO,5254.0,4494.0,855.3483060525314
Maïs,1995-1996,GLAZOUE,5871.0,7056.0,1201.839550332141
Maïs,1995-1996,GOGOUNOU,5007.0,6198.0,1237.866986219293
