communes,annee,mois,num_mois,Haut,N/J
BEMBEREKE,2012,Janvier,1,0.0,0.0
BEMBEREKE,2012,Février,2,45.9,1.0
BEMBEREKE,2012,Mars,3,0.0,0.0
BEMBEREKE,2012,Avril,4,73.7,3.0
BEMBEREKE,2012,Mai,5,107.98,5.0
BEMBEREKE,2012,Juin,6,133.25,7.0
BEMBEREKE,2012,Juillet,7,316.77,14.0
BEMBEREKE,2012,Août,8,136.18,12.0
BEMBEREKE,2012,Septembre,9,337.24,16.0
BEMBEREKE,2012,Octobre,10,88.97,8.0
BEMBEREKE,2012,Novembre,11,0.0,0.0
BEMBEREKE,2012,Décembre,12,0.0,0.0
KALALE,2012,Janvier,1,0.0,0.0
KALALE,2012,Février,2,0.0,0.0
KALALE,2012,Mars,3,0.0,0.0
KALALE,2012,Avril,4,9.0,1.0
KALALE,2012,Mai,5,119.6,6.0
KALALE,2012,Juin,6,188.6,7.0
KALALE,2012,Juillet,7,203.36,12.0
KALALE,2012,Août,8,267.5,10.0
KALALE,2012,Septembre,9,329.8,13.0
KALALE,2012,Octobre,10,64.0,3.0
KALALE,2012,Novembre,11,0.0,0.0
KALALE,2012,Décembre,12,0.0,0.0
N'DALI,2012,Janvier,1,0.0,0.0
N'DALI,2012,Février,2,75.1,1.0
N'DALI,2012,Mars,3,0.0,0.0
N'DALI,2012,Avril,4,71.0,5.0
N'DALI,2012,Mai,5,165.0,10.0
N'DALI,2012,Juin,6,143.5,9.0
N'DALI,2012,Juillet,7,364.65,14.0
N'DALI,2012,Août,8,202.5,11.0
N'DALI,2012,Septembre,9,444.75,14.0
N'DALI,2012,Octobre,10,101.5,4.0
N'DALI,2012,Novembre,11,0.0,0.0
N'DALI,2012,Décembre,12,0.0,0.0
NIKKI,2012,Janvier,1,0.0,0.0
NIKKI,2012,Février,2,11.33,1.0
NIKKI,2012,Mars,3,0.0,0.0
NIKKI,2012,Avril,4,76.66,4.0
NIKKI,2012,Mai,5,199.33,9.0
NIKKI,2012,Juin,6,74.66,4.0
NIKKI,2012,Juillet,7,231.92,12.0
NIKKI,2012,Août,8,147.58,12.0
NIKKI,2012,Septembre,9,367.17,17.0
NIKKI,2012,Octobre,10,120.33,7.0
NIKKI,2012,Novembre,11,0.0,0.0
NIKKI,2012,Décembre,12,0.0,0.0
PARAKOU,2012,Janvier,1,0.0,0.0
PARAKOU,2012,Février,2,8.92,2.0
PARAKOU,2012,Mars,3,54.67,2.0
PARAKOU,2012,Avril,4,140.6,7.0
PARAKOU,2012,Mai,5,152.0,6.0
PARAKOU,2012,Juin,6,165.75,10.0
PARAKOU,2012,Juillet,7,223.03,12.0
PARAKOU,2012,Août,8,160.3,8.0
PARAKOU,2012,Septembre,9,243.95,12.0
PARAKOU,2012,Octobre,10,134.83,10.0
PARAKOU,2012,Novembre,11,0.0,0.0
PARAKOU,2012,Décembre,12,0.0,0.0
PERERE,2012,Janvier,1,0.0,0.0
PERERE,2012,Février,2,10.0,1.0
PERERE,2012,Mars,3,17.9,2.0
PERERE,2012,Avril,4,75.4,4.0
PERERE,2012,Mai,5,173.0,7.0
PERERE,2012,Juin,6,155.05,11.0
PERERE,2012,Juillet,7,145.3,8.0
PERERE,2012,Août,8,120.65,8.0
PERERE,2012,Septembre,9,281.2,14.0
PERERE,2012,Octobre,10,141.1,9.0
PERERE,2012,Novembre,11,0.0,0.0
PERERE,2012,Décembre,12,0.0,0.0
SINENDE,2012,Janvier,1,0.0,0.0
SINENDE,2012,Février,2,16.8,1.0
SINENDE,2012,Mars,3,0.0,0.0
SINENDE,2012,Avril,4,55.65,3.0
SINENDE,2012,Mai,5,188.13,11.0
SINENDE,2012,Juin,6,196.19,10.0
SINENDE,2012,Juillet,7,331.87,12.0
SINENDE,2012,Août,8,191.6,11.0
SINENDE,2012,Septembre,9,257.42,11.0
SINENDE,2012,Octobre,10,113.97,8.0
SINENDE,2012,Novembre,11,8.1,1.0
SINENDE,2012,Décembre,12,0.0,0.0
TCHAOUROU,2012,Janvier,1,0.0,0.0
TCHAOUROU,2012,Février,2,42.58,2.0
TCHAOUROU,2012,Mars,3,0.0,0.0
TCHAOUROU,2012,Avril,4,151.96,5.0
TCHAOUROU,2012,Mai,5,94.11,5.0
TCHAOUROU,2012,Juin,6,212.71,10.0
TCHAOUROU,2012,Juillet,7,289.01,12.0
TCHAOUROU,2012,Août,8,218.82,11.0
TCHAOUROU,2012,Septembre,9,244.76,11.0
TCHAOUROU,2012,Octobre,10,171.25,12.0
TCHAOUROU,2012,Novembre,11,0.0,0.0
TCHAOUROU,2012,Décembre,12,0.0,0.0
DEPART. BORGOU,2012,Janvier,1,0.0,0.0
DEPART. BORGOU,2012,Février,2,26.33,1.0
DEPART. BORGOU,2012,Mars,3,10.37,1.0
DEPART. BORGOU,2012,Avril,4,81.75,4.0
DEPART. BORGOU,2012,Mai,5,149.89,7.0
DEPART. BORGOU,2012,Juin,6,158.71,9.0
DEPART. BORGOU,2012,Juillet,7,263.24,12.0
DEPART. BORGOU,2012,Août,8,180.64,10.0
DEPART. BORGOU,2012,Septembre,9,313.28,14.0
DEPART. BORGOU,2012,Octobre,10,116.99,8.0
DEPART. BORGOU,2012,Novembre,11,1.01,1.0
DEPART. BORGOU,2012,Décembre,12,0.0,0.0
