produit,annee,communes,superficie,production,rendement,Haut_cumul,NJ_cumul,Haut_moyenne
MAIS,2012-2013,ABOMEY,2205.0,2168.4,983.4013605442176,997.1,62.0,83.09
MAIS,2012-2013,ABOMEY-CALAVI,9916.0,14314.85,1443.6113352158127,1186.46,35.0,98.87
MAIS,2012-2013,ADJA-OUERE,12461.707251528958,13904.427052588124,1115.7722430754543,1100.96,47.0,91.75
MAIS,2012-2013,ADJARRA,1324.0331495296,1520.0881892323428,1148.0741171566565,1308.3,69.0,109.02
MAIS,2012-2013,ADJOHOUN,35538.543500976615,49692.69725001709,1398.2761349983718,1344.61,66.0,112.05
MAIS,2012-2013,AGBANGNIZOUN,5170.0,4915.04,950.6847195357834,1325.0,74.0,110.42
MAIS,2012-2013,AGUEGUES,1061.5,3202.7578,3017.2,1482.0,43.0,123.5
MAIS,2012-2013,AKPRO-MISSERETE,5479.852791111111,5312.835473284781,969.521568517817,1031.45,58.0,85.95
MAIS,2012-2013,ALLADA,13983.7,18584.61,1329.0195012764864,1127.61,58.0,93.97
MAIS,2012-2013,APLAHOUE,31084.41510920588,32463.071088129374,1044.352,1353.6,62.0,112.8
MAIS,2012-2013,ATHIEME,5220.319713480632,4857.864824278116,930.56845,972.03,55.0,81.0
MAIS,2012-2013,AVRANKOU,1850.3566666666663,2095.664732409671,1132.5733952605558,1566.13,62.0,130.51
MAIS,2012-2013,BANIKOARA,41092.0,57528.09163818699,1399.982761563978,1078.86,65.0,89.9
MAIS,2012-2013,BANTE,11733.0,11218.0,956.1067075769198,1288.05,63.9,107.34
MAIS,2012-2013,BASSILA,5277.497678885865,2991.9581043000485,566.9274126391814,1740.5,82.0,145.04
MAIS,2012-2013,BEMBEREKE,11981.0,15364.245215128987,1282.384209592604,1239.99,66.0,103.33
MAIS,2012-2013,BOHICON,3794.0,3415.65,900.2767527675277,1459.45,69.0,121.62
MAIS,2012-2013,BONOU,5547.5,4414.450031936908,795.7548502815517,1264.1,60.0,105.34
MAIS,2012-2013,BOPA,9517.127094142075,14896.309922381255,1565.21078,1063.42,66.0,88.62
MAIS,2012-2013,BOUKOUMBE,5042.366575956459,6751.996397333691,1339.053060824508,1530.5,81.0,127.54
MAIS,2012-2013,COBLY,4580.074915959661,9105.319692398542,1988.0285496357883,1258.41,66.0,104.87
MAIS,2012-2013,COME,8577.11454097474,9387.999924404929,1094.54058,928.3,53.0,77.36
MAIS,2012-2013,COPARGO,9614.470946054103,11639.405845230884,1210.6132423238366,1784.52,94.0,148.71
MAIS,2012-2013,COVE,3324.5,3257.775,979.9293126785984,1215.17,58.8,101.26
MAIS,2012-2013,DANGBO,14083.5,20254.872084281706,1438.1987491945683,1543.2,73.0,128.6
MAIS,2012-2013,DASSA-ZOUME,12985.0,12498.75,962.5529457065844,471.3,49.2,39.28
MAIS,2012-2013,DJAKOTOMEY,10189.13606832128,12445.010793847612,1221.4,1468.85,62.0,122.4
MAIS,2012-2013,DJIDJA,19710.0,20611.35,1045.7305936073062,1056.88,53.17,88.07
MAIS,2012-2013,DJOUGOU,9614.470946054103,15962.699337457942,1660.2784934317397,1351.06,79.0,112.59
MAIS,2012-2013,DOGBO,22164.295987660505,25502.903892281804,1150.63,1274.94,63.0,106.24
MAIS,2012-2013,GLAZOUE,19196.0,16404.999999999996,854.6051260679308,1112.06,49.3,92.67
MAIS,2012-2013,GOGOUNOU,27593.0,43265.29126061502,1567.980692951655,1183.98,68.0,98.66
MAIS,2012-2013,GRAND-POPO,466.6062311785955,567.609668406252,1216.46397,831.44,38.0,69.29
MAIS,2012-2013,HOUEYOGBE,6512.0869640698975,6642.7,1020.0570165372104,907.75,59.0,75.65
MAIS,2012-2013,IFANGNI,5698.0897442000005,9454.01698162186,1659.155507553204,1462.99,71.0,121.92
MAIS,2012-2013,KALALE,14819.0,17759.0,1198.3939537080776,1181.86,52.0,98.49
MAIS,2012-2013,KANDI,34100.0,45829.83568255838,1343.9834511014187,1120.59,48.0,93.38
MAIS,2012-2013,KARIMAMA,6850.0,8056.0,1176.058394160584,783.08,41.0,65.26
MAIS,2012-2013,KEROU,19873.55978869857,39028.14031166544,1963.82232104484,1219.43,72.0,101.62
MAIS,2012-2013,KETOU,74055.66504666666,81419.10630486057,1099.431167805377,805.68,51.0,67.14
MAIS,2012-2013,KLOUEKANME,12646.2168880164,18072.83501683312,1429.11,1071.51,46.0,89.29
MAIS,2012-2013,KOUANDE,10833.964462942213,23610.169214127847,2179.2732747912264,953.63,64.0,79.47
MAIS,2012-2013,KPOMASSE,7814.5,7934.125,1015.3080811312304,1094.0,55.0,91.17
MAIS,2012-2013,LALO,17204.729756348363,18567.17230575359,1079.19,1083.92,56.0,90.33
MAIS,2012-2013,LOKOSSA,9864.131728130444,14675.3,1487.7437167783462,1276.36,69.0,106.36
MAIS,2012-2013,MALANVILLE,13827.6,17423.0,1260.0161994850878,902.19,45.0,75.18
MAIS,2012-2013,MATERI,10833.964462942213,15912.71835605384,1468.7807413882151,1125.3,59.0,93.78
MAIS,2012-2013,N'DALI,11020.0,15427.810032435036,1399.982761563978,1568.0,68.0,130.67
MAIS,2012-2013,NATITINGOU,10516.637105810789,18036.84233033224,1715.0769917092878,1416.69,81.0,118.06
MAIS,2012-2013,NIKKI,18480.0,24319.38054768017,1315.9837958701394,1228.98,66.0,102.42
MAIS,2012-2013,OUAKE,3515.0107251480717,3872.763571532649,1101.7785931135409,1265.55,72.0,105.46
MAIS,2012-2013,OUESSE,35754.5,36853.65,1030.741584975318,1065.1,62.0,88.76
MAIS,2012-2013,OUIDAH,6682.0,6919.099999999999,1035.4833882071234,1329.61,50.0,110.8
MAIS,2012-2013,OUINHI,8899.0,8771.0,985.6163613889202,1495.67,50.2,124.64
MAIS,2012-2013,PARAKOU,4293.0,6490.93607502569,1511.9813824890962,1284.05,69.0,107.0
MAIS,2012-2013,PEHOUNCO,2431.016487914199,5113.329160399784,2103.3708269033573,1221.42,64.0,101.79
MAIS,2012-2013,PERERE,7578.1,9548.288428867185,1259.9844854075802,1119.6,64.0,93.3
MAIS,2012-2013,POBE,21644.449015062397,19560.011250465865,903.696427516082,1043.7,73.0,86.98
MAIS,2012-2013,PORTO-NOVO,57.5,64.93575162753993,1129.31741960939,1158.33,78.0,96.53
MAIS,2012-2013,SAKETE,23940.152033333336,28303.996773000006,1182.281412983118,1182.0,67.0,98.5
MAIS,2012-2013,SAVALOU,9929.5885,10728.75905,1080.4837531786943,1110.03,53.0,92.5
MAIS,2012-2013,SAVE,2705.25,2569.7875,949.9260696793272,916.24,78.0,76.35
MAIS,2012-2013,SEGBANA,21085.75,25977.32413288993,1231.9848301763006,1159.26,59.0,96.6
MAIS,2012-2013,SEME-PODJI,93.71461773333333,102.64592673999998,1095.3032645566657,1299.15,63.0,108.26
MAIS,2012-2013,SINENDE,24775.25,32395.718001151043,1307.5838993007555,1359.73,68.0,113.31
MAIS,2012-2013,SO-AVA,594.0,1004.5,1691.077441077441,1217.62,33.0,101.47
MAIS,2012-2013,TANGUIETA,4103.834800704338,5801.684900826816,1413.7228184309654,1133.28,52.0,94.44
MAIS,2012-2013,TCHAOUROU,9879.0,15213.472671639594,1539.981037720376,1425.2,68.0,118.77
MAIS,2012-2013,TOFFO,17017.63,24217.260410000003,1423.0689238160662,841.49,83.0,70.12
MAIS,2012-2013,TORI-BOSSITO,5870.0,6098.75,1038.96933560477,1057.72,83.0,88.14
MAIS,2012-2013,TOUCOUNTOUNA,3346.63294381303,6175.044433290583,1845.151391552061,1004.95,78.0,83.75
MAIS,2012-2013,TOVIKLIN,16318.5243392052,17451.682669319613,1069.44,1041.55,52.0,86.8
MAIS,2012-2013,ZA-KPOTA,6908.518,6534.6421,945.881895364534,1327.8,63.0,110.65
MAIS,2012-2013,ZAGNANADO,4548.5,4808.57,1057.1770913487962,1309.0,57.0,109.08
MAIS,2012-2013,ZE,21671.54,28653.9095,1322.1907395598096,701.48,34.0,58.46
MAIS,2012-2013,ZOGBODOMEY,8875.0,8646.0,974.1971830985916,1162.9,58.0,96.91
MAIS,2013-2014,ABOMEY,2535.0,2176.25,858.4812623274162,1002.98,42.0,83.58
MAIS,2013-2014,ABOMEY-CALAVI,9678.0,14790.93,1528.304401735896,1156.01,62.0,96.33
MAIS,2013-2014,ADJA-OUERE,16817.39240153061,19128.174867857146,1137.404325899907,777.18,38.67,64.77
MAIS,2013-2014,ADJARRA,1406.3831068000004,1585.0389127832002,1127.0321046373365,1004.9,53.5,83.74
MAIS,2013-2014,ADJOHOUN,31362.768035643487,42314.58956995369,1349.198180526144,1115.4,55.67,92.95
MAIS,2013-2014,AGBANGNIZOUN,5800.0,5224.0,900.6896551724138,770.25,60.0,64.19
MAIS,2013-2014,AGUEGUES,1056.1413056835638,2548.578712070661,2413.1039079293946,1533.56,55.0,127.8
MAIS,2013-2014,AKPRO-MISSERETE,3628.88032,3057.05755784,842.4244638191869,1025.75,47.5,85.48
MAIS,2013-2014,ALLADA,13317.0,11508.42,864.1901329128182,1103.77,67.16,91.98
MAIS,2013-2014,APLAHOUE,24301.0,25141.588,1034.5906752808526,1157.37,57.0,96.45
MAIS,2013-2014,ATHIEME,5390.0,5334.05,989.6196660482376,862.58,49.25,71.88
MAIS,2013-2014,AVRANKOU,5175.743666666667,5345.672666666666,1032.831803687341,1038.3,77.0,86.52
MAIS,2013-2014,BANIKOARA,42772.0,69863.84999999999,1633.4015243617316,838.06,44.0,69.84
MAIS,2013-2014,BANTE,11285.0,9986.5,884.9357554275587,888.36,57.0,74.03
MAIS,2013-2014,BASSILA,7442.0,20097.77701413008,2700.588150245912,980.42,63.25,81.7
MAIS,2013-2014,BEMBEREKE,19440.0,37702.0,1939.40329218107,916.48,58.0,76.37
MAIS,2013-2014,BOHICON,3940.0,3200.25,812.246192893401,682.5,40.5,56.88
MAIS,2013-2014,BONOU,3366.354622420513,3292.7365904725134,978.1312308995344,965.28,52.0,80.44
MAIS,2013-2014,BOPA,8381.0,14216.81,1696.3142823052144,900.72,52.5,75.06
MAIS,2013-2014,BOUKOUMBE,4940.0,8333.742847981095,1686.9924793484,1173.2,72.5,97.77
MAIS,2013-2014,COBLY,3643.0,6885.291876275463,1890.0060050165969,1092.6,58.5,91.05
MAIS,2013-2014,COME,8782.0,13505.895,1537.9065133227057,684.1,39.5,57.01
MAIS,2013-2014,COPARGO,3984.0,4660.314541532513,1169.7576660473178,1020.97,74.33,85.08
MAIS,2013-2014,COVE,3992.0,3686.2,923.3967935871744,725.51,41.5,60.46
MAIS,2013-2014,DANGBO,8815.06401333333,11209.4098977,1271.619795471147,1156.35,59.0,96.36
MAIS,2013-2014,DASSA-ZOUME,13285.0,12213.25,919.3263078660144,821.48,43.8,68.46
MAIS,2013-2014,DJAKOTOMEY,8421.0,9379.85,1113.8641491509322,1205.32,70.5,100.44
MAIS,2013-2014,DJIDJA,22030.0,21419.5,972.2877893781208,860.36,40.5,71.7
MAIS,2013-2014,DJOUGOU,9400.0,16259.002290789818,1729.6810947648744,1104.0,66.11,92.0
MAIS,2013-2014,DOGBO,17582.0,19992.44,1137.0970310544876,830.35,53.67,69.2
MAIS,2013-2014,GLAZOUE,18515.0,14769.5,797.7045638671348,698.86,37.0,58.24
MAIS,2013-2014,GOGOUNOU,20765.0,35249.5,1697.5439441367687,928.85,60.0,77.4
MAIS,2013-2014,GRAND-POPO,668.0,829.1850000000002,1241.294910179641,668.03,40.0,55.67
MAIS,2013-2014,HOUEYOGBE,6289.5,6114.700000000001,972.2076476667464,936.0,62.75,78.0
MAIS,2013-2014,IFANGNI,6093.4205600000005,6120.934657858334,1004.5153781176616,648.29,45.5,54.02
MAIS,2013-2014,KALALE,11410.25,22608.45,1981.4158322560857,891.65,47.6,74.3
MAIS,2013-2014,KANDI,41908.0,70575.55,1684.0591295218096,817.2,49.0,68.1
MAIS,2013-2014,KARIMAMA,11689.0,15508.199999999995,1326.734536743947,891.5,33.0,74.29
MAIS,2013-2014,KEROU,27408.0,55472.13813478791,2023.9396575739895,1063.13,62.8,88.59
MAIS,2013-2014,KETOU,79293.0,94870.813,1196.4588677436848,834.95,47.8,69.58
MAIS,2013-2014,KLOUEKANME,12251.0,17575.85,1434.6461513345848,866.78,58.2,72.23
MAIS,2013-2014,KOUANDE,22590.0,43040.420069966494,1905.286413013125,1072.73,68.4,89.39
MAIS,2013-2014,KPOMASSE,9090.0,9646.0,1061.1661166116612,710.94,51.0,59.25
MAIS,2013-2014,LALO,16492.0,17189.045,1042.265643948581,742.66,41.5,61.89
MAIS,2013-2014,LOKOSSA,17851.0,22687.685,1270.947565962691,1031.61,56.75,85.97
MAIS,2013-2014,MALANVILLE,15000.0,22450.0,1496.6666666666667,823.0,47.0,68.58
MAIS,2013-2014,MATERI,9250.0,15816.771869040696,1709.9212831395346,1117.9,76.0,93.16
MAIS,2013-2014,N'DALI,10355.0,19112.1,1845.6880733944956,1044.5,77.0,87.04
MAIS,2013-2014,NATITINGOU,1666.0,2660.7050426454525,1597.0618503274025,1159.97,65.0,96.66
MAIS,2013-2014,NIKKI,16575.0,32516.5,1961.7797888386124,1098.4,52.0,91.53
MAIS,2013-2014,OUAKE,1850.0,2617.282648467123,1414.7473775497965,1159.7,72.5,96.64
MAIS,2013-2014,OUESSE,34657.0,26610.05,767.81169749257,872.21,59.8,72.68
MAIS,2013-2014,OUIDAH,6448.0,6862.7,1064.3145161290322,989.02,49.3,82.42
MAIS,2013-2014,OUINHI,8660.0,7851.000000000001,906.5819861431872,937.51,53.4,78.13
MAIS,2013-2014,PARAKOU,2991.0,5762.05,1926.4627214978268,591.5,38.0,49.29
MAIS,2013-2014,PEHOUNCO,13830.5,43746.107050646206,3163.0170312458845,1097.85,63.0,91.49
MAIS,2013-2014,PERERE,7235.0,14173.25,1958.9841050449209,950.75,55.0,79.23
MAIS,2013-2014,POBE,25358.1424,28018.9345296,1104.9285112303808,914.85,60.43,76.24
MAIS,2013-2014,PORTO-NOVO,61.89100000000001,138.14714586666668,2232.10395480226,1142.55,66.5,95.21
MAIS,2013-2014,SAKETE,21599.465666666663,25321.60821396706,1172.3256771599026,991.25,60.0,82.6
MAIS,2013-2014,SAVALOU,11340.0,11745.75,1035.7804232804233,909.58,46.0,75.8
MAIS,2013-2014,SAVE,2679.0,2357.4,879.9552071668533,905.95,78.5,75.5
MAIS,2013-2014,SEGBANA,31380.5,50498.25,1609.2238810726406,985.99,54.0,82.17
MAIS,2013-2014,SEME-PODJI,260.2763333333333,295.66464666666667,1135.964391691395,918.25,44.5,76.52
MAIS,2013-2014,SINENDE,22070.0,43246.0,1959.4925237879477,962.28,55.0,80.19
MAIS,2013-2014,SO-AVA,866.75,1458.075,1682.2324776463802,1340.52,49.0,111.71
MAIS,2013-2014,TANGUIETA,6498.5,9698.54018351062,1492.4275115042888,1200.17,73.67,100.01
MAIS,2013-2014,TCHAOUROU,7866.5,13628.65,1732.4922138180896,888.6,50.0,74.05
MAIS,2013-2014,TOFFO,20290.480000000003,25602.722000000005,1261.8095776935784,1142.26,49.27,95.19
MAIS,2013-2014,TORI-BOSSITO,5222.0,5382.0,1030.639601685178,897.93,59.49,74.83
MAIS,2013-2014,TOUCOUNTOUNA,3361.25,7439.023782804834,2213.1718208418997,840.1,63.33,70.01
MAIS,2013-2014,TOVIKLIN,18437.3,19794.68,1073.6214087746037,853.61,58.0,71.13
MAIS,2013-2014,ZA-KPOTA,7540.0,6705.5,889.3236074270557,1222.25,45.0,101.85
MAIS,2013-2014,ZAGNANADO,4970.0,4879.75,981.841046277666,686.48,39.17,57.21
